case_id,accuracy,usefulness,tone,faithfulness,strict_usefulness,overall,overall_strict,failed,capability_needs
case_01,4,3,4,5,2,80,74,0,logistics_lookup|after_sales_action
case_02,4,3,5,5,2,83,77,0,product_lookup
case_03,4,3,3,5,2,77,71,0,refund_lookup
case_04,4,4,5,5,3,89,83,0,order_lookup|after_sales_action
case_05,5,3,5,4,2,82,76,0,
case_06,5,3,3.5,5,2,83.5,77.5,0,coupon_lookup
case_07,5,4.5,5,5,2,97,82,0,account_lookup
case_08,3,3.5,5,3,2,69,60,0,product_lookup
case_09,5,4,4,5,4,91,91,0,
case_10,5,5,5,5,3.5,100,91,0,order_lookup|after_sales_action
case_11,3,3,4,3,2,63,57,0,order_lookup|after_sales_action
case_12,5,3,3.5,5,2,83.5,77.5,0,order_lookup|logistics_lookup
case_13,5,3,4,5,2,85,79,0,product_lookup
case_14,3,4,5,3,3,72,66,0,video_feature
case_15,5,3,5,5,2,88,82,0,order_lookup|after_sales_action
case_16,4,3,4,5,2,80,74,0,product_comparison|product_lookup
case_17,4,3,4,5,2.5,80,77,0,refund_lookup|logistics_lookup
case_18,4,3,4,4,2,74,68,0,order_lookup|after_sales_action
case_19,4,2.5,4,4,2,71,68,0,inventory_lookup
case_20,5,2.5,4,5,2,82,79,0,order_lookup|after_sales_action
