case_id,accuracy,usefulness,tone,faithfulness,strict_usefulness,overall,overall_strict,failed,capability_needs
case_01,5,1,4.5,5,1,74.5,74.5,0,logistics_lookup
case_02,5,2.5,4.5,5,1.5,83.5,77.5,0,product_lookup
case_03,5,3.5,4,5,2.5,88,82,0,refund_lookup
case_04,5,3,4.5,5,2,86.5,80.5,0,product_lookup
case_05,5,2,3.5,5,2,77.5,77.5,0,
case_06,5,2,2.5,5,1,74.5,68.5,0,coupon_lookup
case_07,5,2.5,4.5,5,1.5,83.5,77.5,0,account_lookup
case_08,5,2,4.5,5,1,80.5,74.5,0,product_lookup
case_09,5,3,4,5,2,85,79,0,after_sales_action
case_10,5,3.5,4.5,5,2.5,89.5,83.5,0,after_sales_action
case_11,5,2.5,4.5,5,1.5,83.5,77.5,0,after_sales_action
case_12,5,4,4,5,3,91,85,0,logistics_lookup
case_13,5,2,4.5,5,1,80.5,74.5,0,product_lookup
case_14,5,4,4.5,5,3,92.5,86.5,0,video_feature
case_15,5,2,4,5,2,79,79,0,
case_16,5,4,4.5,5,4,92.5,92.5,0,product_comparison
case_17,5,3.5,4.5,5,3.5,89.5,89.5,0,logistics_lookup|after_sales_action
case_18,5,3.5,4.5,5,2.5,89.5,83.5,0,product_lookup
case_19,5,2,4.5,5,1,80.5,74.5,0,product_lookup|inventory_lookup
case_20,5,2,4.5,5,1,80.5,74.5,0,after_sales_action
